שם הרחוב,רובע
המלך יהואש,רובע י'
המלך יהויכין,רובע י'
המלך יהושפט,רובע י'
המלך יואש,רובע י'
המלך יורם,רובע י'
המלך מנשה,רובע י'
המלך עוזיהו,רובע י'
המלך צדקיהו,רובע י'
המלך שאול,רובע י'
המלך שלמה,רובע י'
המסגר,אזור תעשייה קריית חלוצים
המסחר,רובע א'
המעפילים,רובע א'
המפרץ,המרינה
המשוטטים,רובע ד'
המשוררים,מע"ר דרום
המתנדבים,הקריה (הסיטי)
הנביאים,רובע ג'
הנורית,רובע ח'
הנחליאלי,רובע א'
הנפח,אזור תעשייה קריית חלוצים
הנפט,אזור תעשייה צפוני
הנרייטה סולד,רובע ב'
הנרקיס,רובע ח'
הסביון,רובע ח'
הסדנא,אזור תעשייה קלה
הסייפן,רובע ח'
העבודה,אזור תעשייה קלה
העוגן,רובע ד'
העופרים,רובע ב'
העופרת,אזור תעשייה קריית חלוצים
העצמאות,הקריה (הסיטי)
הפלדה,אזור תעשייה קריית חלוצים
הפלמ"ח,רובע ג'
הצבי,רובע ב'
הצבעוני,רובע ח'
הציונות,הקריה (הסיטי)
הקברניט,רובע ד'
הקליטה,הקריה (הסיטי)
הר ארבל,רובע ד'
הר גלבוע,רובע ד'
הר הכרמל,רובע ד'
הר כנען,רובע ד'
הר מירון,רובע ד'
הר מצדה,רובע ד'
הר נבו,רובע י"א
הר סיני,רובע י"א
הר תבור,רובע ד'
הראשונים,רובע א'
הרב הרצוג,רובע ב'
הרב מיימון,רובע ב'
הרב פנחס אבוחצירא,רובע ז'
הרב קוק,רובע ב'
הרותם,רובע ח'
הרי גולן,רובע ד'
הרי חברון,רובע ד'
הרי יהודה,רובע ד'
הרי שומרון,רובע ד'
הרקפת,רובע ח'
השיטה,רובע א'
השייטים,רובע ד'
השיקמה,רובע א'
השלדג,רובע א'
התאנה,רובע א'
התבור,רובע י"א
התנאים,רובע ז'
התעשייה,אזור תעשייה קלה
התקווה,הקריה (הסיטי)
התקשורת,אזור תעשייה קלה
התרבות,מע"ר דרום
וולפסון,רובע ו'
זכרון יעקב,רובע ט'
חדרה,רובע ט'
חוף לידו,רובע א'
חורף,רובע ט"ז
חזון איש,רובע ז'
חטיבת גולני,רובע ג'
חטיבת הנגב,רובע ג'
חטיבת יפתח,רובע ג'
חטיבת כרמלי,רובע ג'
חיבת ציון,רובע ו'
חיד"א,רובע ג'
חיים בר לב,רובע ט"ו
חיים משה שפירא,רובע ה'
חנה סנש,רובע ב'
חסידי אומות העולם,רובע ט"ו
חפץ חיים,רובע ג'
חשון,רובע ט"ז
טבת,רובע ט"ז
יהודה הלוי,רובע ה'
יהודה המכבי,רובע ו'
יהלום,רובע י"ב
יוהנה ז'בוטינסקי,רובע ט"ו
יוחנן בן זכאי,רובע ג'
יונתן בן עוזיאל,רובע ג'
יוסף קארו,רובע ו'
יוספטל,רובע א'
יורדי הסירה,רובע א'
ים המלח,רובע י"א
ים כנרת,רובע י"א
ים סוף,רובע י"א
יסוד המעלה,רובע ט'
יפה ירקוני,רובע י"ב
יצחק הנשיא,רובע ג'
יצחק שדה,רובע ב'
ישפה,רובע י"ב
כ"ט בנובמבר,הקריה (הסיטי)
כוכב הים,המרינה
כוכב הצפון,הקריה (הסיטי)
כוכב השחר,הקריה (הסיטי)
כינור,הקריה (הסיטי)
כנרת,רובע ט'
כסלו,רובע ט"ז
כפר תבור,רובע ט'
לוטוס,רובע ח'
לימון,רובע י"ז
לשם,רובע י"ב
מארק שאגל,רובע ט"ו
מבצע חורב,רובע ח'
מבצע יואב,רובע ח'
מבצע תש"ח,רובע ב'
מגדל,רובע ט'
מגדלור המרינה,המרינה
מורדי הגטאות,רובע ב'
מזכרת בתיה,רובע ט'
מטולה,רובע ט'
מיכקשוילי,רובע ה'
מלכי ישראל,רובע י'
מנגו,רובע י"ז
מצדה,רובע י"א
מקוה ישראל,רובע ט'
מרגנית,רובע ח'
מרזוק ועזר,רובע א'
מרחביה,רובע ט'
מרחשוון,רובע ט"ז
משה אבן עזרא,רובע ג'
משה סנה,רובע ט"ז
משמר הירדן,רובע ב'
משמש,רובע י"ז
משעול האירוסים,רובע ב'
נאות ספיר,הקריה (הסיטי)
נהלל,רובע ט'
נופך,רובע י"ב
נורדאו,רובע ב'
נחל איילון,רובע י"ג
נחל אלכסנדר,רובע י"ג
נחל ארנון,רובע י"ג
נחל דן,רובע י"ג
נחל הבשור,רובע י"ג
נחל הירמוך,רובע י"ג
נחל הירקון,רובע י"ג
נחל חברון,רובע י"ג
נחל כרוב,רובע י"ג
נחל לכיש,רובע י"ג
נחל נעמן,רובע י"ג
נחל ערוגות,רובע י"ג
נחל פארן,רובע י"ג
נחל צין,רובע י"ג
נחל צלמון,רובע י"ג
נחל קדרון,רובע י"ג
נחל קישון,רובע י"א
נחל קלת,רובע י"ג
נחל שורק,רובע י"ג
נחל שניר,רובע י"ג
נחל תנינים,רובע י"ג
נחל תקוע,רובע י"ג
ניסן,רובע ט"ז
נס ציונה,רובע ט'
נעמי שמר,רובע י"ב
סברס,רובע י"ז
סטרומה,רובע א'
סיון,רובע ט"ז
סיני,רובע א'
ספיר,רובע י"ב
סתיו,רובע ט"ז
עוזי חיטמן,רובע י"ב
עורף נמל אשדוד,עורף הנמל
עין חרוד,רובע ט'
עתלית,רובע ט'
פאטריה,רובע ד'
פטדה,רובע י"ב
פפאיה,רובע י"ז
פתח תקוה,רובע ב'
קבוצת יבנה,רובע ט'
קדש,רובע א'
קהילת בודפשט,רובע ה'
קהילת ורשה,רובע ה'
קהילת מילאנו,רובע ה'
קהילת סלוניקי,רובע ה'
קהילת פריז,רובע ה'
קהילת רומא,רובע ה'
קורל,הקריה (הסיטי)
קיבוץ גלויות,רובע א'
קיץ,רובע ט"ז
קלמנטינה,רובע י"ז
קרן היסוד,רובע ב'
ראש פינה,רובע ב'
ראשון לציון,רובע ט'
רבי אלעזר בן ערך,רובע ז'
רבי חנינא בן דוסא,רובע ז'
רבי טרפון,רובע ז'
רבי יהודה הנשיא,רובע ז'
רבי מאיר,רובע ז'
רבי מאיר בעל הנס,רובע ג'
רבי עקיבא,רובע ג'
רוגוזין,רובע א'
רוחמה,רובע ט'
רוטשילד,רובע ט"ו
רות המואביה,רובע ח'
רחבעם זאבי,רובע ה'
רחובות,רובע ט'
רימון,רובע י"ז
רמב"ם,רובע ב'
שבו,רובע י"ב
שבט,רובע ט"ז
שבט אפרים,רובע ו'
שבט אשר,רובע ו'
שבט בנימין,רובע ו'
שבט גד,רובע ו'
שבט דן,רובע ו'
שבט זבולון,רובע ו'
שבט יהודה,רובע ו'
שבט יששכר,רובע ו'
שבט לוי,רובע ג'
שבט מנשה,רובע ו'
שבט נפתלי,רובע ו'
שבט ראובן,רובע ו'
שבט שמעון,רובע ו'
שבי ציון,רובע א'
שדרות בני ברית,ציר ראשי חוצה
שדרות דרום,מע"ר דרום
שדרות הים התיכון,המרינה
שדרות העצמאות,הקריה (הסיטי)
שדרות הציונות,הקריה (הסיטי)
שדרות הרצל,ציר ראשי חוצה
שדרות יצחק הנשיא,רובע ג'
שדרות ירושלים,ציר ראשי חוצה
שדרות מנחם בגין,ציר ראשי חוצה
שדרות משה דיין,ציר ראשי חוצה
שדרות עובד בן עמי,ציר ראשי חוצה
שדרות תל חי,רובע ט"ו
שוהם,רובע י"ב
שושנה דמארי,רובע י"ב
שלמה בן יוסף,רובע ה'
שמאי,רובע ז'
שמואל מרזוק,רובע א'
שמיר,רובע ב'
שמעיה,רובע ג'
שניר,רובע י"א
שסק,רובע י"ז
שפירית,רובע ד'
שקד,רובע י"ז
תל יוסף,רובע ט'
תמוז,רובע ט"ז
תפוז,רובע י"ז
תרשיש,רובע י"ב
תשרי,רובע ט"ז
